资源名称,P2P下载地址
Lync Server 2010 (x64) - DVD (English),ed2k://|file|en_lync_server_2010_x64_dvd_598415.iso|1597792256|4D4A1821A91A1883A7873A44ED32ED3E|/
"Office Live Communications Server 2003, Standard Edition (Simplified Chinese)",ed2k://|file|Sc_Office_Live_2003_std.iso|80719872|5D7D399C26E10ED3ED2CDF6E57492BB5|/
"Internet Security and Acceleration (ISA) Server 2006 Service Pack 1 (x86) - CD (Chinese-Simplified, Chinese-Traditional, English, French, German, Italian, Japanese, Korean, Portuguese-Brazil, Russian,",ed2k://|file|mu_internet_security_and_acceleration_server_2006_service_pack_1_x86_cd_x14-93722.iso|140910592|CA14CAC5182423F003F4DF1EF43143E1|/
ISA Server 2004 Standard Edition (Simplified Chinese),ed2k://|file|sc_ISA_2004_std.iso|110888960|19023FD544804393EB87D52C6D9DC9DC|/
Internet Security and Acceleration (ISA) Server 2006 Standard Edition (English),ed2k://|file|en_ISA_Server_2006_std_X12-76254.iso|137709568|FA5F575340FF213C729792CB8E68F961|/
Internet Security and Acceleration (ISA) Server 2006 Standard Edition (Simplified Chinese),ed2k://|file|sc_ISA_Server_2006_std_X12-76246.iso|138803200|D156232FACE6DF72434C711D91FFC72B|/
Office 2010 KMS Host License Pack (x86) - (English),ed2k://|file|en_office_2010_kms_host_license_pack_x86_458501.exe|1054160|6CEEC769C2D8CA970AA764BEDF85862E|/
Windows MultiPoint Server 2012 Standard (x64) - DVD (Chinese-Simplified),ed2k://|file|cn_windows_multipoint_server_2012_standard_x64_dvd_1191676.iso|3812769792|660CBFFC08929EBC61E8642EF87A2E97|/
"Windows 10 (consumer editions), version 1809 (updated Sept 2019) (x64) - DVD (Chinese-Simplified)",ed2k://|file|cn_windows_10_consumer_editions_version_1809_updated_sept_2019_x64_dvd_ecb7b897.iso|5571874816|915CADD0234B759920255AA8CC5984FB|/
XNA Game Studio 3.1 - (Japanese),ed2k://|file|ja_xna_game_studio_3.1_xnags31_s.exe|76729704|612E168D5522A3D6124EB0DE85ED4E8E|/
".NET Framework 4.6.1 (Offline Installer) for Windows 7 SP1, 8, 8.1, 10, Windows Server 2008 R2 SP1, 2012 and 2012 R2 (x86 and x64) - (Multiple Languages)",ed2k://|file|mu_.net_fx_4_6_1_for_win_7sp1_8_8dot1_10_win_server_2008r2sp1_2012_2012r2_x86_x64_7277558.exe|67681000|3DC89AA6CDA818591DE7048ADC3B2CCB|/
